song,artist,peak_position,weeks_on_chart,date_of_charting
Empire State Of Mind (Part II) Broken Down,Alicia Keys,55,1,1/2/2010
On Fire,Lil Wayne,62,2,1/2/2010
Elevator,Eminem,67,1,1/2/2010
Hell Breaks Loose,Eminem Featuring Dr. Dre,29,1,1/2/2010
I Get It In,Omarion Featuring Gucci Mane,83,7,1/2/2010
Falling Down,Selena Gomez & The Scene,82,7,1/9/2010
Kings And Queens,Thirty Seconds To Mars,82,5,1/9/2010
Music Box,Eminem,82,1,1/9/2010
Love Me,Justin Bieber,37,4,1/9/2010
Video Phone,Beyonce Featuring Lady Gaga,65,5,1/9/2010
Bonfire,Craig Morgan,57,14,1/9/2010
Funhouse,P!nk,44,13,1/16/2010
(If You're Wondering If I Want You To) I Want You To,Weezer,81,9,1/16/2010
Drop It Low,Ester Dean Featuring Chris Brown,38,17,1/16/2010
Gettin' You Home,Chris Young,33,20,1/16/2010
Run This Town,"Jay-Z, Rihanna & Kanye West",2,23,1/16/2010
I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,40,17,1/23/2010
Body Language,Jesse McCartney Featuring T-Pain,35,15,1/23/2010
Bad Habits,Maxwell,71,14,1/23/2010
Love This Pain,Lady Antebellum,93,1,1/23/2010
One Time,Justin Bieber,17,25,1/23/2010
Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman,36,19,1/23/2010
Red Light,David Nail,54,16,1/23/2010
I Will Not Bow,Breaking Benjamin,40,20,1/30/2010
Hot Mess,Cobra Starship,64,5,1/30/2010
Ready To Love Again,Lady Antebellum,72,1,1/30/2010
Do I,Luke Bryan,34,20,1/30/2010
Uprising,Muse,37,20,2/6/2010
Give It Up To Me,Shakira Featuring Lil Wayne,29,11,2/6/2010
Russian Roulette,Rihanna,9,14,2/6/2010
Redemption Song,Rihanna,81,1,2/6/2010
Fifteen,Taylor Swift,23,21,2/6/2010
Baby By Me,50 Cent Featuring Ne-Yo,28,13,2/6/2010
Break,Three Days Grace,73,20,2/6/2010
Crawl,Chris Brown,53,9,2/6/2010
My City Of Ruins (Live From The Kennedy Center Honors),Eddie Vedder,92,1,2/13/2010
Papers,Usher,31,16,2/13/2010
Hurry Home,Jason Michael Carroll,99,1,2/13/2010
Stranded (Haiti Mon Amour),"Jay-Z, Bono, The Edge & Rihanna",16,2,2/13/2010
Let It Be,Jennifer Hudson Featuring The Roots,98,1,2/13/2010
Breathless,Taylor Swift,72,1,2/13/2010
Eight Second Ride,Jake Owen,70,13,2/13/2010
Lean On Me,"Sheryl Crow, Kid Rock & Keith Urban",47,1,2/13/2010
One Less Lonely Girl,Justin Bieber,16,16,2/13/2010
Fallin' For You,Colbie Caillat,12,31,2/13/2010
Cowboy Casanova,Carrie Underwood,11,20,2/13/2010
Major Tom,Shiny Toy Guns,97,1,2/20/2010
Who I Am,Nick Jonas & The Administration,73,2,2/20/2010
Evacuate The Dancefloor,Cascada,25,26,2/20/2010
Sweet Dreams,Beyonce,10,29,2/20/2010
Bridge Over Troubled Water    ,Mary J. Blige & Andrea Bocelli,75,1,2/20/2010
American Star,Lil Wayne Featuring Shanell AKA SNL,91,1,2/20/2010
Consider Me Gone,Reba,38,19,2/20/2010
F**k Today,Lil Wayne Featuring Gudda,76,1,2/20/2010
Hallelujah,Justin Timberlake & Matt Morris Featuring Charlie Sexton,13,3,2/20/2010
Set The Fire To The Third Bar,Snow Patrol Featuring Martha Wainwright,54,5,2/27/2010
I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,20,19,2/27/2010
Spotlight,Gucci Mane Featuring Usher,42,16,2/27/2010
I Wanna Make You Close Your Eyes,Dierks Bentley,52,20,2/27/2010
You And Me,Dave Matthews Band,57,2,2/27/2010
Hallelujah (Vancouver Winter 2010 Version),k.d. lang,61,1,3/6/2010
Hero,Christopher Wilde,57,1,3/6/2010
Something About The Sunshine  ,Christopher Wilde & Anna Margaret,81,1,3/6/2010
Southern Voice,Tim McGraw,49,18,3/6/2010
Up Out My Face,Mariah Carey Featuring Nicki Minaj,100,1,3/6/2010
StarStruck,Christopher Wilde,77,1,3/6/2010
3,Britney Spears,1,20,3/6/2010
Never Gonna Be Alone,Nickelback,58,17,3/6/2010
Money To Blow,Birdman Featuring Lil Wayne & Drake,26,20,3/6/2010
Paparazzi,Lady Gaga,6,27,3/13/2010
Meet Me Halfway,The Black Eyed Peas,7,24,3/13/2010
Rain,Creed,91,3,3/13/2010
Didn't You Know How Much I Loved You,Kellie Pickler,97,2,3/13/2010
Already Gone,Kelly Clarkson,13,31,3/13/2010
Gangsta Luv,Snoop Dogg Featuring The-Dream,35,19,3/13/2010
Use Somebody,Kings Of Leon,4,57,3/13/2010
Cryin' For Me (Wayman's Song),Toby Keith,73,12,3/13/2010
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",8,24,3/13/2010
White Liar,Miranda Lambert,38,20,3/13/2010
Pants On The Ground,General Larry Platt,46,3,3/13/2010
Let It Be,Kris Allen,63,2,3/20/2010
Follow Me Down                ,3OH!3 Featuring Neon Hitch,89,2,3/20/2010
My Best Days Are Ahead Of Me,Danny Gokey,82,1,3/20/2010
Knockout,Lil Wayne Featuring Nicki Minaj,44,5,3/20/2010
Shut It Down,Pitbull Featuring Akon,42,14,3/20/2010
I Invented Sex,Trey Songz Featuring Drake,42,20,3/20/2010
We Are The World 25: For Haiti,Artists For Haiti,2,5,3/27/2010
Vanilla Twilight,Owl City,72,5,3/27/2010
Ooh Baby,Mario,95,1,3/27/2010
Feel It,Three 6 Mafia Vs. Tiesto With Sean Kingston & Flo Rida,78,2,3/27/2010
If You Only Knew,Shinedown,42,20,3/27/2010
