,artist,danceability,valence,tempo,liveness,song,popularity,speechiness,mood,loudness,duration_ms,energy,release_date,acousticness,mode,instrumentalness,key,year,artist_genre,artist_popularity,artist_followers,hit,words_count,words_average_size,1st_word,1st_occurence,1st_word_percentage,2nd_word,2nd_occurence,2nd_word_percentage,3rd_word,3rd_occurence,3rd_word_percentage,4th_word,4th_occurence,4th_word_percentage,5th_word,5th_occurence,5th_word_percentage,longest_word,longest_word_length,unique_word_percentage,Explicitness
0,Miley Cyrus,0.652,0.47,96.021,0.0886,Party In The U.S.A.,78.0,0.042,,-4.667,202067.0,0.698,1/1/2009,0.00112,0.0,0.000115,10.0,2009.0,pop,83.0,25700084.0,1,469,4.283018867924528,song,11,2.345415778251599,like,11,2.345415778251599,yeah,11,2.345415778251599,its,9,1.9189765458422172,party,9,1.9189765458422172,butterflies,11,19.402985074626866,0
1,Green Day,0.268,0.416,159.779,0.626,21 Guns,75.0,0.0355,,-4.939,321093.0,0.742,5/15/2009,0.0518,1.0,0.0,5.0,2009.0,punk,82.0,16334071.0,1,566,4.092592592592593,want,50,8.8339222614841,bad,36,6.360424028268551,romance,25,4.41696113074205,love,18,3.180212014134276,love,14,2.4734982332155475,leatherstudded,14,5.30035335689046,0
2,Miley Cyrus,0.336,0.299,161.01,0.141,The Climb,72.0,0.0325,,-6.354,234520.0,0.602,1/1/2009,0.0635,1.0,0.0,4.0,2009.0,pop,83.0,25700084.0,1,343,4.543478260869565,id,11,3.206997084548105,that,10,2.915451895043732,cause,9,2.623906705539359,as,7,2.0408163265306123,believe,6,1.749271137026239,everything,10,22.448979591836736,0
3,Lady Gaga,0.696,0.714,119.001,0.0842,Bad Romance,78.0,0.0363,,-3.755,294573.0,0.921,11/5/2009,0.00314,1.0,5.24e-05,0.0,2009.0,art pop,94.0,35873486.0,1,492,4.557142857142857,like,25,5.08130081300813,that,11,2.2357723577235773,me,11,2.2357723577235773,melody,10,2.032520325203252,got,10,2.032520325203252,replayayayay,12,12.804878048780488,0
4,Owl City,0.513,0.461,180.118,0.118,Fireflies,78.0,0.0439,,-6.8,228347.0,0.661,1/1/2009,0.0274,1.0,0.0,3.0,2009.0,pop,69.0,2476635.0,1,339,4.3,all,18,5.3097345132743365,secrets,10,2.949852507374631,away,10,2.949852507374631,dont,10,2.949852507374631,so,8,2.359882005899705,everything,10,20.058997050147493,0
5,Iyaz,0.706,0.195,91.031,0.168,Replay,72.0,0.0708,,-6.323,182307.0,0.751,8/11/2009,0.173,1.0,0.0,9.0,2009.0,pop,67.0,1064713.0,1,225,4.28,will,14,6.222222222222222,hey,12,5.333333333333333,us,11,4.888888888888889,on,8,3.555555555555556,come,8,3.555555555555556,transmissions,13,28.88888888888889,0
6,Jay Sean,0.657,0.683,65.997,0.0822,Down,76.0,0.0321,,-4.493,212107.0,0.695,1/1/2009,0.0108,1.0,0.0,2.0,2009.0,pop,67.0,1941036.0,1,234,4.424242424242424,will,22,9.401709401709402,not,16,6.837606837606837,away,8,3.418803418803418,fall,7,2.9914529914529915,world,6,2.5641025641025643,coldblooded,11,14.52991452991453,0
7,OneRepublic,0.516,0.376,148.021,0.115,Secrets,76.0,0.0366,,-6.223,224693.0,0.764,1/1/2009,0.0717,1.0,0.0,2.0,2009.0,soft pop,84.0,18051378.0,1,229,4.4,when,14,6.11353711790393,look,8,3.493449781659389,at,8,3.493449781659389,yeah,6,2.6200873362445414,thats,5,2.183406113537118,kaleidoscope,12,18.34061135371179,0
8,Madonna,0.624,0.257,111.037,0.181,Like a Prayer,71.0,0.0376,,-5.285,342680.0,0.842,9/18/2009,0.264,1.0,2.11e-05,5.0,2009.0,pop,80.0,8426190.0,1,624,3.672413793103448,take,45,7.211538461538462,boy,35,5.608974358974359,it,31,4.967948717948718,love,30,4.807692307692308,me,27,4.326923076923077,stronger,8,7.051282051282051,0
9,The xx,0.617,0.152,100.363,0.128,Intro,72.0,0.027,,-8.871,127920.0,0.778,8/16/2009,0.459,0.0,0.925,9.0,2009.0,pop,66.0,3827664.0,1,290,4.627906976744186,dog,12,4.137931034482759,days,12,4.137931034482759,run,9,3.103448275862069,over,6,2.0689655172413794,done,6,2.0689655172413794,everything,10,16.20689655172414,0
10,The Fray,0.338,0.4,151.994,0.136,You Found Me,74.0,0.0413,,-5.412,241853.0,0.803,1/30/2009,0.0187,0.0,0.0,8.0,2009.0,pop,74.0,4188020.0,1,411,4.446153846153846,good,22,5.35279805352798,this,18,4.37956204379562,life,18,4.37956204379562,oh,10,2.4330900243309004,really,7,1.70316301703163,hopelessly,10,12.408759124087592,0
11,Stealers Wheel,0.795,0.961,124.166,0.0631,Stuck In The Middle With You,71.0,0.0392,,-10.482,203893.0,0.564,1/1/2009,0.0934,1.0,0.000531,7.0,2009.0,rock,61.0,193238.0,1,257,4.372093023255814,time,17,6.614785992217898,this,16,6.22568093385214,ill,14,5.447470817120623,baby,13,5.058365758754864,bulletproof,11,4.280155642023346,informations,12,17.120622568093385,0
12,Muse,0.602,0.411,128.019,0.117,Uprising,75.0,0.0775,,-4.046,304840.0,0.905,9/10/2009,0.000202,1.0,0.064,2.0,2009.0,alternative rock,76.0,8190393.0,1,548,3.96,one,44,8.02919708029197,girl,28,5.109489051094891,time,21,3.832116788321168,tell,19,3.4671532846715327,ima,17,3.102189781021898,butterflies,11,10.218978102189782,0
13,Breaking Benjamin,0.533,0.55,107.984,0.38,I Will Not Bow,71.0,0.0653,,-3.708,216733.0,0.955,1/1/2009,0.000165,1.0,1.36e-05,8.0,2009.0,alternative metal,73.0,4917925.0,1,369,4.153846153846154,we,12,3.252032520325203,gon,12,3.252032520325203,cause,10,2.710027100271003,up,9,2.4390243902439024,go,9,2.4390243902439024,sometimes,9,8.672086720867208,0
14,Skillet,0.64,0.692,134.992,0.0789,Monster,75.0,0.0741,,-2.336,178013.0,0.957,8/21/2009,0.0431,1.0,0.0,8.0,2009.0,christian rock,74.0,5528574.0,1,370,3.934782608695652,at,10,2.702702702702702,yeah,10,2.702702702702702,no,9,2.4324324324324325,today,8,2.1621621621621623,dont,8,2.1621621621621623,everything,10,18.91891891891892,0
15,Skillet,0.533,0.782,142.018,0.336,Hero,72.0,0.0995,,-2.543,186813.0,0.967,8/21/2009,0.00791,1.0,0.0,1.0,2009.0,christian rock,74.0,5528574.0,1,402,4.46,come,20,4.975124378109452,raise,16,3.9800995024875614,so,10,2.487562189054726,glass,10,2.487562189054726,and,10,2.487562189054726,nittygritty,11,16.666666666666668,0
16,Luis Enrique,0.653,0.733,95.223,0.18,Yo No Sé Mañana,74.0,0.042,,-3.206,259853.0,0.827,5/19/2009,0.649,0.0,0.0,4.0,2009.0,salsa,64.0,1137374.0,1,674,4.0,boom,86,12.759643916913946,badoom,28,4.154302670623146,he,27,4.005934718100891,bass,22,3.264094955489614,that,20,2.967359050445104,entrepreneur,12,13.649851632047476,0
17,Aventura,0.812,0.701,125.941,0.132,El Malo,71.0,0.0533,,-10.729,238720.0,0.506,6/9/2009,0.143,1.0,0.0,1.0,2009.0,bachata,80.0,9711558.0,1,334,3.877551020408163,wanna,10,2.9940119760479043,baby,9,2.694610778443114,no,9,2.694610778443114,think,8,2.395209580838323,marry,8,2.395209580838323,beautiful,9,13.173652694610778,0
18,Carlos Baute,0.836,0.875,120.025,0.129,Colgando en tus manos (con Marta Sánchez),74.0,0.0367,,-4.803,230280.0,0.637,2009,0.535,1.0,0.0,6.0,2009.0,latin pop,64.0,1992882.0,1,430,4.164179104477612,yeah,13,3.0232558139534884,ya,12,2.7906976744186047,yeah,12,2.7906976744186047,all,10,2.3255813953488373,id,9,2.0930232558139537,understand,10,13.023255813953488,0
19,Lady Gaga,0.696,0.714,119.001,0.0842,Bad Romance,83.0,0.0363,Energetic,-3.755,294573.0,0.921,11/5/2009,0.00314,1.0,5.24e-05,0.0,2009.0,art pop,94.0,35873486.0,1,287,4.0,hey,15,5.2264808362369335,soul,7,2.4390243902439024,sister,7,2.4390243902439024,aint,6,2.0905923344947737,tonight,6,2.0905923344947737,connection,10,22.99651567944251,0
20,Black Eyed Peas,0.743,0.61,127.96,0.509,I Gotta Feeling,82.0,0.0265,Energetic,-6.375,289133.0,0.766,1/1/2009,0.0873,1.0,0.0,0.0,2009.0,,81.0,8828856.0,1,316,4.081632653061225,go,27,8.544303797468354,dont,22,6.962025316455696,baby,21,6.6455696202531644,please,21,6.6455696202531644,go,12,3.79746835443038,yesterday,9,7.2784810126582276,0
21,JAY-Z,0.491,0.811,173.585,0.46,Empire State Of Mind,81.0,0.392,Energetic,-1.538,276920.0,0.956,9/8/2009,0.0295,1.0,0.0,11.0,2009.0,hip hop,84.0,9912852.0,1,698,4.069444444444445,could,34,4.871060171919771,bet,25,3.5816618911174785,that,25,3.5816618911174785,that,24,3.438395415472779,never,24,3.438395415472779,blackboard,10,9.169054441260744,0
22,Owl City,0.512,0.472,180.114,0.118,Fireflies,80.0,0.0439,Energetic,-6.797,228347.0,0.662,1/1/2009,0.0275,1.0,0.0,3.0,2009.0,,69.0,2476635.0,1,857,4.149532710280374,take,17,1.9836639439906647,not,12,1.4002333722287048,this,12,1.4002333722287048,that,9,1.0501750291715286,or,9,1.0501750291715286,responsibilities,16,25.204200700116687,1
