words_count,words_average_size,1st_word,1st_occurence,1st_word_percentage,2nd_word,2nd_occurence,2nd_word_percentage,3rd_word,3rd_occurence,3rd_word_percentage,4th_word,4th_occurence,4th_word_percentage,5th_word,5th_occurence,5th_word_percentage,longest_word,longest_word_length,unique_word_percentage,Explicitness
469,4.277777777777778,song,11,2.345415778251599,like,10,2.1321961620469083,party,9,1.9189765458422174,hands,8,1.7057569296375266,playin,8,1.7057569296375266,butterflies,11,21.535181236673775,0
566,4.033333333333333,want,41,7.243816254416961,bad,36,6.360424028268551,romance,25,4.41696113074205,love,14,2.4734982332155475,love,14,2.4734982332155475,leatherstudded,14,5.6537102473498235,0
343,4.478260869565218,Id,11,3.206997084548105,Cause,8,2.3323615160349855,believe,6,1.749271137026239,as,6,1.749271137026239,asleep,6,1.749271137026239,everything,10,25.072886297376094,0
492,4.52054794520548,like,25,5.08130081300813,me,11,2.2357723577235773,melody,10,2.032520325203252,got,10,2.032520325203252,singing,10,2.032520325203252,replayayayay,12,13.617886178861788,0
339,4.155555555555556,all,15,4.424778761061947,secrets,10,2.949852507374631,away,10,2.949852507374631,gonna,8,2.359882005899705,give,8,2.359882005899705,everything,10,21.533923303834808,0
225,4.222222222222222,will,14,6.222222222222222,us,11,4.888888888888889,They,9,4.0,on,8,3.5555555555555554,hey,8,3.5555555555555554,transmissions,13,31.555555555555557,0
234,4.3428571428571425,will,22,9.401709401709402,not,16,6.837606837606837,away,8,3.4188034188034186,world,6,2.5641025641025643,lost,5,2.1367521367521367,Coldblooded,11,15.384615384615385,0
229,4.3076923076923075,look,8,3.493449781659389,at,8,3.493449781659389,When,7,3.056768558951965,when,7,3.056768558951965,Thats,5,2.183406113537118,kaleidoscope,12,20.087336244541486,0
624,3.7096774193548385,boy,33,5.288461538461538,it,31,4.967948717948718,love,28,4.487179487179487,me,27,4.326923076923077,Yeah,24,3.8461538461538463,stronger,8,8.493589743589743,0
290,4.48936170212766,dog,12,4.137931034482759,days,12,4.137931034482759,over,6,2.0689655172413794,done,6,2.0689655172413794,run,5,1.7241379310344827,everything,10,16.896551724137932,0
